text,label,language
"Подскажите пожалуйста, Не работает электронноя библиотека. Уже несколько дний не могу решить проблему.",Библиотека,ru
Лектор не пришел на занятие,Преподаватели,ru
Не могу зарегистрироваться на курс. Это очень важно.,Регистрация,ru
professor ignores messages,Преподаватели,en
"Could you please help me, course registration failed. I need urgent help.",Регистрация,en
I need to apply for temporary residence permit,Иностранные студенты,en
The library system is not responding,Библиотека,en
I have a problem: The list of books is not displayed,Библиотека,en
I cannot open the electronic textbook,Библиотека,en
"Please help, I cannot complete temporary registration. Please help me.",Иностранные студенты,en
не могу получить insurance,Иностранные студенты,mixed
"Подскажите пожалуйста, регистрация слетела",Регистрация,ru
I cannot choose a discipline,Регистрация,en
не могу pay tuition,Финансы,mixed
"Good afternoon, I cannot get a certificate. I need urgent help.",Документы,en
Не магу получеть обратную связь,Преподаватели,ru
Не знаю какие документы нужны для визы,Иностранные студенты,ru
"Добрый день, Документ не готов. Уже несколько дней не могу решить проблему.",Документы,ru
деньги charged but статус unpaid,Финансы,mixed
The enrollment certificate is not loading,Документы,en
"Подскажите пожалуйста, portal не открывается. Срочно нужна помощь.",IT-проблемы,mixed
"Hello, The class disappeared from the schedule. I do not know what to do.",Расписание,en
препод игнорит,Преподаватели,ru
Ошибка поиска книги,Библиотека,ru
"Добрый день, Нужно оформить РВП. Я не знаю, что делать.",Иностранные студенты,ru
Преподаватель поставил неправильную оценку,Преподаватели,ru
I have a problem: can't enroll in course. I do not know what to do.,Регистрация,en
Платеж не проходит. Уже несколько дней не могу решить проблему.,Финансы,ru
универ сайт лагоет,IT-проблемы,ru
ошибка регестрацеи,Регистрация,ru
Расписанеи отображается неправильнно,Расписание,ru
Не работает электронная библиоттека,Библиотека,ru
I have a problem: lecturer canceled the class. I need urgent help.,Преподаватели,en
препод игнорит,Преподаватели,ru
У меня проблима: не вижу оценки. Помогите пожалуйста.,Экзамены,ru
The document contains an error,Документы,en
"Hello, I cannot get a place in the dormitory",Иностранные студенты,en
There is a problem with the online schedule,Расписание,en
"Здравствуйте, migration card проблема. Я не знаю, что делать.",Иностранные студенты,mixed
I cannot chooze a disciplne,Регистрация,en
Ошибка при входе в электронную библиотеку,Библиотека,ru
"Could you please help me, document request not processed. Please help me.",Документы,en
У меня проблема: Пара стоит в неправильный день. Это очень важно.,Расписание,ru
I do not heve accass to exam information,Экзамены,en
"Подскажите пожалуйста, расписание shows wrong classroom. Это очень важно.",Расписание,mixed
"Помогите, Не могу открыть экзаменационный лист. Уже несколько дней не могу решить проблему.",Экзамены,ru
У меня проблема: Ошибка оплаты. Уже несколько дней не могу решить проблему.,Финансы,ru
Не могу получить студенческий билет,Документы,ru
Проблема с преподавателем,Преподаватели,ru
"Помогитте, нне вижу пару. Срочно нужна помощь.",Расписание,ru
Не могу оплатить семестр,Финансы,ru
"Good afternoon, The system does not accept my file",IT-проблемы,en
schedule is wrong,Расписание,en
The university website is lagging. I have been trying to zolve this for several days.,IT-проблемы,en
"Добрый день, Книга недоступна. Я не знаю, что делать.",Библиотека,ru
зачет missing in system,Экзамены,mixed
teacher игнорит сообщения,Преподаватели,mixed
There is a problem with exam results,Экзамены,en
I have a problem: There is not enough information for international students. I do not know what to do.,Иностранные студенты,en
Не загружается электронная платформа,IT-проблемы,ru
There is a problem with my librar account,Библиотека,en
can't enroll in course,Регистрация,en
Не могу оплатет семестр,Финансы,ru
Лектор не пришел на занятие,Преподаватели,ru
"Please help, The teacher replies rudely. I need urgent help.",Преподаватели,en
"Could you please help me, book file does not open",Библиотека,en
Error while viewing grades,Экзамены,en
"Здравствуйте, Не могу выбрать дисциплину. Это очень важно.",Регистрация,ru
не могу забрать справку,Документы,ru
"Подскажите пожалуйста, Проблема с миграционной картой. Это очень важно.",Иностранные студенты,ru
medical tests were rejected. This is very important.,Иностранные студенты,en
I have a prolem with a teacher,Преподаватели,en
Неврно указано время занятия,Расписание,ru
"Good afternoon, Error while searching for a book. I need urgent help.",Библиотека,en
Не могу зарегистрироваться на семестр,Регистрация,ru
"Could you please help me, The library website does not let me download the file. I have been trying to solve this for several days.",Библиотека,en
Не отображается информация об оплате,Финансы,ru
"Помогите, Транскрипт не готов. Я не знаю, что делать.",Документы,ru
portal не отткрывается,IT-проблемы,mixed
My insurance is not displayed in the system,Иностранные студенты,en
Система отклоняет оплату,Финансы,ru
нужна help with dormitory,Иностранные студенты,mixed
не могу логениться,IT-проблемы,ru
Не работает личный кабинет,IT-проблемы,ru
"Good afternoon, The enrollment certificate is not loading",Документы,en
"Подскажите пожалуйста, Ошибка при входе в электронную библиотеку. Это очень важно.",Библиотека,ru
"Добрый день, Преподаватель поставил неправильную оценку. Срочно нужна помощь.",Преподаватели,ru
не могу download книгу,Библиотека,mixed
